0.010000,0.010000,0.565000
0.010000,0.030000,0.060000
0.010000,0.100000,0.045000
0.010000,0.300000,0.145000
0.010000,1.000000,0.185000
0.010000,3.000000,0.185000
0.010000,10.000000,0.180000
0.010000,30.000000,0.180000
0.030000,0.010000,0.565000
0.030000,0.030000,0.060000
0.030000,0.100000,0.045000
0.030000,0.300000,0.140000
0.030000,1.000000,0.185000
0.030000,3.000000,0.180000
0.030000,10.000000,0.180000
0.030000,30.000000,0.180000
0.100000,0.010000,0.565000
0.100000,0.030000,0.060000
0.100000,0.100000,0.045000
0.100000,0.300000,0.080000
0.100000,1.000000,0.175000
0.100000,3.000000,0.180000
0.100000,10.000000,0.185000
0.100000,30.000000,0.180000
0.300000,0.010000,0.565000
0.300000,0.030000,0.060000
0.300000,0.100000,0.035000
0.300000,0.300000,0.065000
0.300000,1.000000,0.100000
0.300000,3.000000,0.180000
0.300000,10.000000,0.185000
0.300000,30.000000,0.180000
1.000000,0.010000,0.565000
1.000000,0.030000,0.065000
1.000000,0.100000,0.030000
1.000000,0.300000,0.070000
1.000000,1.000000,0.075000
1.000000,3.000000,0.145000
1.000000,10.000000,0.180000
1.000000,30.000000,0.180000
3.000000,0.010000,0.565000
3.000000,0.030000,0.080000
3.000000,0.100000,0.035000
3.000000,0.300000,0.080000
3.000000,1.000000,0.085000
3.000000,3.000000,0.100000
3.000000,10.000000,0.180000
3.000000,30.000000,0.180000
10.000000,0.010000,0.565000
10.000000,0.030000,0.080000
10.000000,0.100000,0.070000
10.000000,0.300000,0.070000
10.000000,1.000000,0.090000
10.000000,3.000000,0.075000
10.000000,10.000000,0.165000
10.000000,30.000000,0.185000
30.000000,0.010000,0.565000
30.000000,0.030000,0.080000
30.000000,0.100000,0.060000
30.000000,0.300000,0.070000
30.000000,1.000000,0.085000
30.000000,3.000000,0.080000
30.000000,10.000000,0.095000
30.000000,30.000000,0.180000
